id;subscription_status;token;token_content_type;reason;created_date;last_modified_date
1;false;../data/blob/hipster.png;image/png;Directives application Home Loan Account;2019-06-30;2019-06-29
2;false;../data/blob/hipster.png;image/png;Practical Fresh Pants;2019-06-29;2019-06-30
3;true;../data/blob/hipster.png;image/png;Movies Producer;2019-06-29;2019-06-29
4;false;../data/blob/hipster.png;image/png;Chips;2019-06-30;2019-06-29
5;false;../data/blob/hipster.png;image/png;Albania web-readiness;2019-06-30;2019-06-29
6;true;../data/blob/hipster.png;image/png;Steel zero administration;2019-06-29;2019-06-30
7;false;../data/blob/hipster.png;image/png;bluetooth;2019-06-30;2019-06-29
8;true;../data/blob/hipster.png;image/png;Mississippi Refined Rubber Chicken Table;2019-06-30;2019-06-30
9;true;../data/blob/hipster.png;image/png;Planner cross-platform access;2019-06-30;2019-06-30
10;true;../data/blob/hipster.png;image/png;infomediaries;2019-06-30;2019-06-29
